Student_ID,Age,Gender,Department,CGPA,Sleep_Duration,Study_Hours,Social_Media_Hours,Physical_Activity,Stress_Level,Depression,CGPA_copy,Useless_Column,Random_Noise
1549,22.0,Female,Engineering,7.611553528482148,5.464639976512076,5.654419179849296,3.8122128939392996,187.17391236753255,4.512835497343865,False,7.6108859417813015,A,0.3142164300384853
1705,19.0,Male,Medical,7.283270427307784,5.958589571312703,3.814198325415621,3.761464754514721,106.47634454230561,4.723046348763574,True,7.284289466633064,A,0.5767320482685504
1245,23.0,Male,Science,6.582197595899517,4.57017702654615,2.784285552331359,2.179694980487081,175.72486724721276,2.8152913250675975,False,6.582874368694303,A,0.8776727494688318
1553,25.0,Female,Business,6.813965366653969,7.72546674706296,3.8328142372091123,8.040154684645788,209.2970641861595,2.0,False,6.814186465700737,A,0.9643285037206298
2165,22.0,Female,Medical,7.417254372461921,6.928107548370029,4.12471493181344,0.31052044821059965,181.68112078167135,4.285665827711978,False,7.41669875100231,A,0.05616738895772022
2050,19.0,Male,Engineering,8.444346758771614,5.906792059780767,,3.847169254987329,174.62212216029226,5.602773340872373,False,8.44543689277609,A,0.9013095614743282
1902,18.0,Female,Science,7.000438257972333,6.446320478974559,4.629671216259076,6.397213703260704,64.18480300545795,7.2643952798863545,False,7.000361472596858,A,0.5764298399384555
1590,25.0,Female,Science,7.107974252733454,5.599130458081865,5.457992431023038,2.427228350161348,217.88546223016377,6.623688836477145,False,7.108099308924566,A,0.9299934310131585
1102,19.0,Male,Medical,7.5427044121029905,,5.385041748564628,2.278202738155708,137.928614190315,4.5516267682905225,False,7.5412650438274715,A,0.5668470801399786
1129,23.0,Female,Engineering,6.821671503844193,7.414579090350423,3.969593567501231,6.693262960690124,,4.019651791411546,False,6.822084360362191,A,0.0924476918222058
1421,26.0,Male,Science,6.9780634520662215,7.661270464135368,2.6544423221852766,4.124187166599052,193.5837907919375,2.0,False,6.977315715271994,A,0.4452680395196167
1978,23.0,Male,Business,7.770732496574088,6.576964162853784,5.283066445116827,2.586001447149992,117.39298036179457,8.141009414964767,False,7.7699045765864065,A,0.42995763083361305
1211,20.0,Male,Business,7.912381739595546,6.930747728781766,4.333817818451727,3.515868385129068,110.1990335001324,4.372549698204407,False,7.914309137349539,A,0.5712554523275456
2093,25.0,Male,Medical,7.79957014018394,6.576773253642625,6.321385194798797,-0.8740447163225453,149.3225491823502,6.297763611896134,False,7.799432029497177,A,0.5030556331995272
1542,18.0,Female,Science,8.13134445468016,7.005940195891796,5.092415519284214,2.244388120469731,96.15475675371403,4.55977148846225,False,8.131881385152813,A,0.633286848124865
1416,24.0,male,Science,7.322694101121702,5.66714801137083,3.7937750576375615,2.3764147460668203,108.08205512025278,2.5837388767222693,False,7.322423520021566,A,0.4073580290193777
1870,18.0,Male,Medical,8.509762396584282,7.702200763459289,7.037276220657469,1.8905573041227979,178.3609855343168,3.9543225857204702,False,8.508330688901404,A,0.4147227619375855
1366,22.0,Male,Engineering,7.845468625351458,6.581066580896989,4.633836922216847,6.507167797382063,185.12917393476494,5.233736256526138,True,7.845471316177873,A,0.8292606434644912
1900,23.0,Male,Science,8.751715709836658,6.723001493022698,5.010101801152433,5.290359888511288,152.65139517336235,7.50599380090145,False,8.75169923646861,A,0.9354254134415833
1329,19.0,FEMALE,Science,6.061868902686317,4.371902553428383,3.0472658716683534,-2.0,200.87109757800744,2.0,True,6.060302715915396,A,0.9572820604078024
2132,24.0,Female,Engineering,7.574652686231025,7.5672155045268195,5.151352302720602,4.870458896671526,128.26853195670114,5.0713112264057445,False,7.5753086848861875,A,0.02446940949126586
1324,26.0,Male,Business,7.339896921659013,7.082237877773249,3.182135420028085,8.583394446740755,133.3597074723799,4.238456589617553,False,7.3383355194361,A,0.883703520070732
2120,22.0,Female,Arts,6.672625643619467,7.623680500417576,3.819497024791187,3.7389929431049325,,6.833237257925672,False,6.673596768457919,A,0.6373344359770395
2140,22.0,Male,Science,6.746215932122691,6.215288337083118,4.110611194519401,2.9241357353171566,135.9120363531349,,False,6.748396461683734,A,0.3671721636296432
